"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"Texas_S-PVSON-N10_ThermalVias";1;"TPS61202DRC";;;
2;"J9,J10";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";2;"Conn_01x01_Socket";;;
3;"U3";"MSOP-10_3x3mm_P0.5mm";1;"MCP73833-xxx-UN";;;
4;"C3,C1";"C_0402_1005Metric";2;"0.1uF";;;
5;"R13";"R_0201_0603Metric";1;"150K";;;
6;"L1";"L_Changjiang_FNR4020S";1;"4.7uH";;;
7;"R12";"R_0201_0603Metric";1;"10K/THERM";;;
8;"J7";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"BATT_IN_JST";;;
9;"R5,R8,R7,R3,R6";"R_0201_0603Metric";5;"10K";;;
10;"U1";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BMP280";;;
11;"Q1,Q2";"SOT-23";2;"BSS138";;;
12;"J8,J5,J1,J3,J4";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";5;"Conn_01x02";;;
13;"R4,R11,RT1,R9";"R_0201_0603Metric";4;"1K";;;
14;"R2";"R_0201_0603Metric";1;"3.15M";;;
15;"D3,D1";"LED_0805_2012Metric";2;"GREEN";;;
16;"C4";"C_0402_1005Metric";1;"22uF";;;
17;"D2";"LED_0805_2012Metric";1;"ORANGE";;;
18;"C6,C5,C2";"C_0402_1005Metric";3;"10uF";;;
19;"D4";"LED_0805_2012Metric";1;"RED";;;
20;"R10";"R_0201_0603Metric";1;"2K";;;
21;"R1";"R_0201_0603Metric";1;"250K";;;
22;"J6";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
23;"J2";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
